" 
1.  Pre-hypertension",2. Hypertension,3. Over-weight (BMI= 25 - 30  kg/m2 ),4. Obese Class  (BMI= 30-40  kg/m2 ),"5. Blood Cholesterol Level High
 (LDL=  160-189 mg/dL    )","6. Blood Cholesterol Level  Very High 
(LDL=   190 mg/dL and above)",7.  Diabetes   Type 1,8.  Diabetes   Type 2,9.    Blood Oxygen Saturation (SpO2),10.   Low Heart Rate ( Bradycardia  ),11.    High Heart Rate (  tachycardia    ),12.    Stress,13.    Smoking,14.    Alcohol,15.    Age (younger=30-45 years),16.    Age (Older=46-70 years)
0.1,0.4,0.6,0.8,0.7,0.8,0.6,0.5,0.4,0.2,0.3,0.5,0.6,0.5,0.3,0.6
0.1,0.5,0.7,0.9,1,1,0.8,0.8,0.4,0.4,0.8,0.8,0.7,0.5,0.1,0.8
0.1,0.5,0.5,0.6,0.3,0.3,0.5,0.5,0.1,0.1,0.2,0.2,0.4,0.2,0.1,0.6
0.3,0.5,0.4,0.6,0.5,0.7,0.3,0.5,0.7,0.4,0.6,0.7,0.3,0.5,0.2,0.7
0.3,0.6,0.8,0.7,0.8,0.9,0.5,0.8,0.1,0.3,0.5,0.8,0.8,0.8,0.3,0.5
0.4,0.9,0.6,1,0.8,1,0.5,0.7,1,0.9,0.9,0.8,0.8,0.6,0.5,0.8
0.3,0.5,0.7,0.7,0.4,0.6,0.3,0.4,0.4,0.3,0.6,0.3,0.4,0.4,0.4,0.6
0.3,0.8,0.9,0.8,0.7,0.9,0.7,0.8,0.7,0.6,0.5,0.6,0.7,0.7,0.5,0.7
0.2,0.1,0.3,0.3,0.3,0.2,0.1,0.2,0.9,0.2,0.3,0.3,0.3,0.2,0.4,0.4
0.3,0.6,0.3,0.3,0.2,0.5,0.3,0.2,0.8,0.4,0.9,0.5,0.3,0.3,0.2,0.7
0.3,0.7,0.7,0.8,0.3,1,0.5,0.8,0.4,0.4,0.6,0.8,0.3,0.5,0.4,0.6
0.3,0.5,0.7,0.8,0.3,1,0.5,0.8,0.4,0.4,0.6,0.8,0.3,0.5,0.4,0.6
0.2,0.5,0.7,0.8,0.3,1,0.4,0.8,0.3,0.2,0.5,0.8,0.4,0.4,0.4,0.6
0.1,0.3,0.5,0.8,0.4,1,0.5,0.5,0.3,0.2,0.5,0.8,0.4,0.5,0.3,0.6
0.2,0.5,0.4,0.8,0.4,1,0.5,0.5,0.3,0.2,0.5,0.8,0.4,0.5,0.4,0.6
